wavelength,mEmerald ex,mEmerald em
300,0.0962,
301,0.0872,
302,0.0801,
303,0.0739,
304,0.0675,
305,0.0612,
306,0.0579,
307,0.0541,
308,0.0528,
309,0.049,
310,0.0487,
311,0.0474,
312,0.0459,
313,0.0446,
314,0.0439,
315,0.0446,
316,0.0442,
317,0.042,
318,0.0412,
319,0.0399,
320,0.0391,
321,0.0378,
322,0.0353,
323,0.0346,
324,0.0348,
325,0.0346,
326,0.0317,
327,0.0324,
328,0.0321,
329,0.0296,
330,0.0308,
331,0.0305,
332,0.0299,
333,0.0317,
334,0.0312,
335,0.0303,
336,0.0322,
337,0.0324,
338,0.0326,
339,0.0334,
340,0.0348,
341,0.0346,
342,0.0357,
343,0.0364,
344,0.0374,
345,0.0398,
346,0.0412,
347,0.0429,
348,0.0438,
349,0.0466,
350,0.049,
351,0.0481,
352,0.0512,
353,0.057,
354,0.0539,
355,0.0557,
356,0.059,
357,0.0616,
358,0.0646,
359,0.0662,
360,0.0685,
361,0.0723,
362,0.0729,
363,0.0756,
364,0.0798,
365,0.0814,
366,0.0841,
367,0.0875,
368,0.0909,
369,0.0921,
370,0.0955,
371,0.0984,
372,0.1002,
373,0.1011,
374,0.1078,
375,0.1103,
376,0.1123,
377,0.116,
378,0.1174,
379,0.1217,
380,0.125,
381,0.1269,
382,0.1296,
383,0.1324,
384,0.1349,
385,0.1363,
386,0.1393,
387,0.1429,
388,0.1442,
389,0.1465,
390,0.148,
391,0.1513,
392,0.1541,
393,0.1561,
394,0.1582,
395,0.1604,
396,0.1622,
397,0.1646,
398,0.1651,
399,0.1671,
400,0.1683,
401,0.1682,
402,0.17,
403,0.1701,
404,0.171,
405,0.1732,
406,0.1732,
407,0.1742,
408,0.1763,
409,0.1768,
410,0.1776,
411,0.1797,
412,0.1818,
413,0.184,
414,0.1858,
415,0.1879,
416,0.1901,
417,0.1933,
418,0.1967,
419,0.1992,
420,0.2028,
421,0.2052,
422,0.2079,
423,0.2113,
424,0.2147,
425,0.218,
426,0.2218,
427,0.2254,
428,0.2299,
429,0.2355,
430,0.2408,
431,0.2456,
432,0.2518,
433,0.2583,
434,0.2661,
435,0.2741,
436,0.2832,
437,0.2918,
438,0.3018,
439,0.3141,
440,0.3248,
441,0.337,
442,0.3496,
443,0.3629,
444,0.3766,
445,0.3915,
446,0.4072,
447,0.4225,
448,0.4393,
449,0.4558,
450,0.4734,
451,0.4898,
452,0.508,
453,0.5254,
454,0.5431,
455,0.561,
456,0.5785,
457,0.5951,
458,0.6119,
459,0.6284,
460,0.6438,
461,0.6601,
462,0.6744,
463,0.6887,0.0027
464,0.7018,0.0031
465,0.7151,0.0034
466,0.7277,0.004
467,0.7397,0.0043
468,0.7524,0.0051
469,0.7647,0.0061
470,0.7771,0.0072
471,0.7889,0.0086
472,0.8017,0.0101
473,0.8143,0.0122
474,0.8286,0.0151
475,0.8418,0.0179
476,0.8561,0.022
